item,member_base_unit,Primary Purchase Unit,Factor
Milk - Half & Half,Fluid Ounces,Case - (12) Bottles - 32Fl oz,0.0026
Milk - Heavy Whipping Cream,Fluid Ounces,Bottle - 32Fl oz,0.0313
Milk - Non Fat,Fluid Ounces,Case - (12) Bottles - 32Fl oz,0.0026
Milk - Oat,Fluid Ounces,Pack - (12) Pouches - 64FL oz,0.0013
Milk - Whole - 1/2 Gallon Bottle,Fluid Ounces,Case - (6) Bottles - 1/2 gal,0.0026
Papergood - Paper Bag - Insulated - 6 x 2 x 8,Eaches,Case - (1000) Eaches,0.0010
Papergood - Toaster Sheets - 12 x 10.75,Eaches,Case - (400) Eaches,0.0025
Pastry Sleeve - LG Cookie Bag,Eaches,Case - (1000) Eaches,0.0010
Simple Syrups - Almond Butter - 1L Bottle - Case of 6,Eaches,Each,1.0000
Simple Syrups - Caramel - 1L Bottle - Case of 6,Eaches,Each,1.0000
Simple Syrups - Chai - 1L Bottle - Case of 6,Eaches,Each,1.0000
Simple Syrups - Chocolate - 1L Bottle - Case of 6,Eaches,Each,1.0000
Simple Syrups - Freeze - 1L Bottle - Case of 6,Eaches,Each,1.0000
Simple Syrups - Lavender Honey - 1L Bottle - Case of 6,Eaches,Each,1.0000
Simple Syrups - Turmeric Honey - 1L Bottle - Case of 6,Eaches,Each,1.0000
Simple Syrups - Vanilla - 1L Bottle - Case of 6,Eaches,Each,1.0000
Simple Syrups - Zero Sugar Vanilla - 1L Bottle - Case of 6,Eaches,Each,1.0000
Spill Stoppers,Eaches,Pack - (400) Eaches,0.0025
Straws - Shark Friendly - Orange,Eaches,Pack - (500) Eaches,0.0020
Sugar Packets - Pink,Eaches,Case - (2000) Eaches,0.0005
Sugar Packets - Raw Brown,Eaches,Case - (2000) Eaches,0.0005
Sugar Packets - Stevia,Eaches,Case - (2000) Eaches,0.0005
Sugar Packets - White,Eaches,Case - (2000) Eaches,0.0005
Whipped Cream Charger,Eaches,Case - (50) Eaches,0.0200
