item,date,category,qty,member_base_unit,actual_qty_in_base_unit
5lb Bag - Cardinal - Whole Bean,2025-02-01,Iced Coffee,128.0,Bags - 5lbs,2.15187295
5lb Bag - Cardinal - Whole Bean,2025-02-02,Iced Coffee,74.0,Bags - 5lbs,0.89138403
5lb Bag - Cardinal - Whole Bean,2025-02-03,Refill Coffee,66.0,Bags - 5lbs,2.11405157
5lb Bag - Cardinal - Whole Bean,2025-02-04,Iced Coffee,86.0,Bags - 5lbs,1.34507529
5lb Bag - Cardinal - Whole Bean,2025-02-05,Iced Coffee,82.0,Bags - 5lbs,1.48614596
5lb Bag - Cardinal - Whole Bean,2025-02-06,Iced Coffee,74.0,Bags - 5lbs,1.07908812
5lb Bag - Cardinal - Whole Bean,2025-02-07,Iced Coffee,106.0,Bags - 5lbs,1.60814878
5lb Bag - Cardinal - Whole Bean,2025-02-08,Packaged Coffee,89.0,Eaches,2.45806338
5lb Bag - Cardinal - Whole Bean,2025-02-09,Iced Coffee,106.0,Bags - 5lbs,2.07906226
5lb Bag - Cardinal - Whole Bean,2025-02-10,Iced Coffee,92.0,Bags - 5lbs,2.02399703
5lb Bag - Cardinal - Whole Bean,2025-02-11,Iced Coffee,61.0,Bags - 5lbs,0.92772679
5lb Bag - Cardinal - Whole Bean,2025-02-12,Iced Coffee,74.0,Bags - 5lbs,1.45915393
5lb Bag - Cardinal - Whole Bean,2025-02-13,Iced Coffee,102.0,Bags - 5lbs,1.63304671
5lb Bag - Cardinal - Whole Bean,2025-02-14,Iced Coffee,76.0,Bags - 5lbs,0.92247803
5lb Bag - Cardinal - Whole Bean,2025-02-15,Iced Coffee,105.0,Bags - 5lbs,1.87545397
5lb Bag - Cardinal - Whole Bean,2025-02-16,Iced Coffee,93.0,Bags - 5lbs,1.7987993599999998
5lb Bag - Cardinal - Whole Bean,2025-02-17,Iced Coffee,98.0,Bags - 5lbs,1.5043059699999999
5lb Bag - Cardinal - Whole Bean,2025-02-18,Iced Coffee,74.0,Bags - 5lbs,1.56738534
5lb Bag - Cardinal - Whole Bean,2025-02-19,Iced Coffee,87.0,Bags - 5lbs,1.27859473
5lb Bag - Cardinal - Whole Bean,2025-02-20,Iced Coffee,79.0,Bags - 5lbs,1.01716273
5lb Bag - Cardinal - Whole Bean,2025-02-21,Iced Coffee,69.0,Bags - 5lbs,1.00453354
5lb Bag - Cardinal - Whole Bean,2025-02-22,Iced Coffee,104.0,Bags - 5lbs,1.3478033
5lb Bag - Cardinal - Whole Bean,2025-02-23,Blended Drinks,99.0,Bags - 5lbs,1.373582
5lb Bag - Cardinal - Whole Bean,2025-02-24,Iced Coffee,98.0,Bags - 5lbs,1.57938816
5lb Bag - Cardinal - Whole Bean,2025-02-25,Iced Coffee,104.0,Bags - 5lbs,1.75832162
5lb Bag - Cardinal - Whole Bean,2025-02-26,Blended Drinks,114.0,Bags - 5lbs,1.70690517
5lb Bag - Cardinal - Whole Bean,2025-02-27,Iced Coffee,95.0,Bags - 5lbs,1.50140804
5lb Bag - Cardinal - Whole Bean,2025-02-28,Iced Coffee,98.0,Bags - 5lbs,1.46630558
5lb Bag - Cardinal - Whole Bean,2025-03-01,Iced Coffee,152.0,Bags - 5lbs,2.1820699
5lb Bag - Cardinal - Whole Bean,2025-03-02,Iced Coffee,102.0,Bags - 5lbs,1.50193949
5lb Bag - Cardinal - Whole Bean,2025-03-03,Iced Coffee,94.0,Bags - 5lbs,1.60082551
5lb Bag - Cardinal - Whole Bean,2025-03-04,Iced Coffee,104.0,Bags - 5lbs,1.88080067
5lb Bag - Cardinal - Whole Bean,2025-03-05,Iced Coffee,96.0,Bags - 5lbs,1.64660129
5lb Bag - Cardinal - Whole Bean,2025-03-06,Iced Coffee,92.0,Bags - 5lbs,1.7315033499999999
5lb Bag - Cardinal - Whole Bean,2025-03-07,Iced Coffee,89.0,Bags - 5lbs,1.41870103
5lb Bag - Cardinal - Whole Bean,2025-03-08,Iced Coffee,143.0,Bags - 5lbs,2.44193827
5lb Bag - Cardinal - Whole Bean,2025-03-09,Iced Coffee,92.0,Bags - 5lbs,1.72662268
5lb Bag - Cardinal - Whole Bean,2025-03-10,Iced Coffee,94.0,Bags - 5lbs,1.4155700900000001
5lb Bag - Cardinal - Whole Bean,2025-03-11,Iced Coffee,105.0,Bags - 5lbs,1.6028991
5lb Bag - Cardinal - Whole Bean,2025-03-12,Iced Coffee,116.0,Bags - 5lbs,2.24187698
5lb Bag - Cardinal - Whole Bean,2025-03-13,Iced Coffee,114.0,Bags - 5lbs,1.87034242
5lb Bag - Cardinal - Whole Bean,2025-03-14,Iced Coffee,117.0,Bags - 5lbs,2.01870798
5lb Bag - Cardinal - Whole Bean,2025-03-15,Iced Coffee,149.0,Bags - 5lbs,2.6414705
5lb Bag - Cardinal - Whole Bean,2025-03-16,Iced Coffee,138.0,Bags - 5lbs,2.13666244
5lb Bag - Cardinal - Whole Bean,2025-03-17,Iced Coffee,106.0,Bags - 5lbs,1.65105055
5lb Bag - Cardinal - Whole Bean,2025-03-18,Iced Coffee,101.0,Bags - 5lbs,1.77961835
5lb Bag - Cardinal - Whole Bean,2025-03-19,Iced Coffee,140.0,Bags - 5lbs,2.32413624
5lb Bag - Cardinal - Whole Bean,2025-03-20,Iced Coffee,114.0,Bags - 5lbs,2.06490595
5lb Bag - Cardinal - Whole Bean,2025-03-21,Iced Coffee,104.0,Bags - 5lbs,1.65951113
5lb Bag - Cardinal - Whole Bean,2025-03-22,Iced Coffee,157.0,Bags - 5lbs,3.32372713
5lb Bag - Cardinal - Whole Bean,2025-03-23,Iced Coffee,164.0,Bags - 5lbs,2.85104919
5lb Bag - Cardinal - Whole Bean,2025-03-24,Iced Coffee,139.0,Bags - 5lbs,2.32734563
5lb Bag - Cardinal - Whole Bean,2025-03-25,Iced Coffee,104.0,Bags - 5lbs,1.57204671
5lb Bag - Cardinal - Whole Bean,2025-03-26,Iced Coffee,124.0,Bags - 5lbs,1.87746165
5lb Bag - Cardinal - Whole Bean,2025-03-27,Iced Coffee,174.0,Bags - 5lbs,3.45040235
5lb Bag - Cardinal - Whole Bean,2025-03-28,Iced Coffee,158.0,Bags - 5lbs,2.5155959
5lb Bag - Cardinal - Whole Bean,2025-03-29,Iced Coffee,254.0,Bags - 5lbs,5.39860387
5lb Bag - Cardinal - Whole Bean,2025-03-30,Blended Drinks,276.0,Bags - 5lbs,5.81585404
5lb Bag - Cardinal - Whole Bean,2025-03-31,Iced Coffee,148.0,Bags - 5lbs,2.96158297
5lb Bag - Cardinal - Whole Bean,2025-04-01,Iced Coffee,110.0,Bags - 5lbs,1.43865126
5lb Bag - Cardinal - Whole Bean,2025-04-02,Blended Drinks,113.0,Bags - 5lbs,1.52824439
5lb Bag - Cardinal - Whole Bean,2025-04-03,Blended Drinks,151.0,Bags - 5lbs,2.1727109
5lb Bag - Cardinal - Whole Bean,2025-04-04,Iced Coffee,187.0,Bags - 5lbs,3.46024089
5lb Bag - Cardinal - Whole Bean,2025-04-05,Iced Coffee,234.0,Bags - 5lbs,4.05939036
5lb Bag - Cardinal - Whole Bean,2025-04-06,Iced Coffee,195.0,Bags - 5lbs,3.37821717
5lb Bag - Cardinal - Whole Bean,2025-04-07,Iced Coffee,102.0,Bags - 5lbs,1.361845
5lb Bag - Cardinal - Whole Bean,2025-04-08,Other Beverages,108.0,Bags - 5lbs,2.00178706
5lb Bag - Cardinal - Whole Bean,2025-04-09,Iced Coffee,137.0,Bags - 5lbs,2.31603004
5lb Bag - Cardinal - Whole Bean,2025-04-10,Blended Drinks,116.0,Bags - 5lbs,2.05011597
5lb Bag - Cardinal - Whole Bean,2025-04-11,Iced Coffee,101.0,Bags - 5lbs,1.50030558
5lb Bag - Cardinal - Whole Bean,2025-04-12,Iced Coffee,157.0,Bags - 5lbs,2.49954744
5lb Bag - Cardinal - Whole Bean,2025-04-13,Blended Drinks,127.0,Bags - 5lbs,2.09656411
5lb Bag - Cardinal - Whole Bean,2025-04-14,Iced Coffee,104.0,Bags - 5lbs,1.80386065
5lb Bag - Cardinal - Whole Bean,2025-04-15,Iced Coffee,137.0,Bags - 5lbs,2.31645577
5lb Bag - Cardinal - Whole Bean,2025-04-16,Iced Coffee,100.0,Bags - 5lbs,1.54406236
5lb Bag - Cardinal - Whole Bean,2025-04-17,Iced Coffee,135.0,Bags - 5lbs,2.16083105
5lb Bag - Cardinal - Whole Bean,2025-04-18,Blended Drinks,154.0,Bags - 5lbs,2.59276913
5lb Bag - Cardinal - Whole Bean,2025-04-19,Iced Coffee,153.0,Bags - 5lbs,3.28683003
5lb Bag - Cardinal - Whole Bean,2025-04-20,Iced Coffee,138.0,Bags - 5lbs,2.92074945
5lb Bag - Cardinal - Whole Bean,2025-04-21,Iced Coffee,122.0,Bags - 5lbs,1.55613323
5lb Bag - Cardinal - Whole Bean,2025-04-22,Iced Coffee,141.0,Bags - 5lbs,2.26173219
5lb Bag - Cardinal - Whole Bean,2025-04-23,Iced Coffee,166.0,Bags - 5lbs,2.65007738
5lb Bag - Cardinal - Whole Bean,2025-04-24,Iced Coffee,146.0,Bags - 5lbs,2.31899145
5lb Bag - Cardinal - Whole Bean,2025-04-25,Iced Coffee,195.0,Bags - 5lbs,2.73435662
5lb Bag - Cardinal - Whole Bean,2025-04-26,Iced Coffee,250.0,Bags - 5lbs,4.92427598
5lb Bag - Cardinal - Whole Bean,2025-04-27,Iced Coffee,189.0,Bags - 5lbs,3.5243908299999998
5lb Bag - Cardinal - Whole Bean,2025-04-28,Iced Coffee,148.0,Bags - 5lbs,2.2493979299999998
5lb Bag - Cardinal - Whole Bean,2025-04-29,Iced Coffee,121.0,Bags - 5lbs,1.87248537
5lb Bag - Cardinal - Whole Bean,2025-04-30,Iced Coffee,166.0,Bags - 5lbs,2.69013352
5lb Bag - Cardinal - Whole Bean,2025-05-01,Iced Coffee,167.0,Bags - 5lbs,2.96380184
5lb Bag - Cardinal - Whole Bean,2025-05-02,Iced Coffee,137.0,Bags - 5lbs,2.58653067
5lb Bag - Cardinal - Whole Bean,2025-05-03,Iced Coffee,190.0,Bags - 5lbs,3.46931297
5lb Bag - Cardinal - Whole Bean,2025-05-04,Iced Coffee,145.0,Bags - 5lbs,2.57460528
5lb Bag - Cardinal - Whole Bean,2025-05-05,Iced Coffee,104.0,Bags - 5lbs,1.64519724
5lb Bag - Cardinal - Whole Bean,2025-05-06,Iced Coffee,147.0,Bags - 5lbs,2.30414815
5lb Bag - Cardinal - Whole Bean,2025-05-07,Iced Coffee,200.0,Bags - 5lbs,3.66162404
5lb Bag - Cardinal - Whole Bean,2025-05-08,Iced Coffee,146.0,Bags - 5lbs,2.31876874
5lb Bag - Cardinal - Whole Bean,2025-05-09,Iced Coffee,128.0,Bags - 5lbs,1.9885076799999999
5lb Bag - Cardinal - Whole Bean,2025-05-10,Iced Coffee,219.0,Bags - 5lbs,4.81105084
5lb Bag - Cardinal - Whole Bean,2025-05-11,Iced Coffee,177.0,Bags - 5lbs,3.18899072
5lb Bag - Cardinal - Whole Bean,2025-05-12,Iced Coffee,114.0,Bags - 5lbs,1.90243973
5lb Bag - Cardinal - Whole Bean,2025-05-13,Iced Coffee,107.0,Bags - 5lbs,1.61496311
5lb Bag - Cardinal - Whole Bean,2025-05-14,Iced Coffee,118.0,Bags - 5lbs,1.6622784099999999
5lb Bag - Cardinal - Whole Bean,2025-05-15,Iced Coffee,124.0,Bags - 5lbs,2.27760912
5lb Bag - Cardinal - Whole Bean,2025-05-16,Iced Coffee,135.0,Bags - 5lbs,2.65404929
5lb Bag - Cardinal - Whole Bean,2025-05-17,Blended Drinks,214.0,Bags - 5lbs,3.54229168
5lb Bag - Cardinal - Whole Bean,2025-05-18,Iced Coffee,142.0,Bags - 5lbs,2.1703329
5lb Bag - Cardinal - Whole Bean,2025-05-19,Iced Coffee,121.0,Bags - 5lbs,1.25002985
5lb Bag - Cardinal - Whole Bean,2025-05-20,Iced Coffee,146.0,Bags - 5lbs,2.65278541
5lb Bag - Cardinal - Whole Bean,2025-05-21,Iced Coffee,100.0,Bags - 5lbs,1.11770599
5lb Bag - Cardinal - Whole Bean,2025-05-22,Blended Drinks,115.0,Bags - 5lbs,1.87505517
5lb Bag - Cardinal - Whole Bean,2025-05-23,Iced Coffee,147.0,Bags - 5lbs,2.34151755
5lb Bag - Cardinal - Whole Bean,2025-05-24,Iced Coffee,195.0,Bags - 5lbs,3.20723292
5lb Bag - Cardinal - Whole Bean,2025-05-25,Iced Coffee,196.0,Bags - 5lbs,3.89750418
5lb Bag - Cardinal - Whole Bean,2025-05-26,Iced Coffee,116.0,Bags - 5lbs,2.15518227
5lb Bag - Cardinal - Whole Bean,2025-05-27,Iced Coffee,117.0,Bags - 5lbs,2.07254049
5lb Bag - Cardinal - Whole Bean,2025-05-28,Iced Coffee,76.0,Bags - 5lbs,1.21882128
5lb Bag - Cardinal - Whole Bean,2025-05-29,Iced Coffee,114.0,Bags - 5lbs,1.48240814
5lb Bag - Cardinal - Whole Bean,2025-05-30,Iced Coffee,138.0,Bags - 5lbs,2.49069938
5lb Bag - Cardinal - Whole Bean,2025-05-31,Iced Coffee,173.0,Bags - 5lbs,2.3077964
5lb Bag - Cardinal - Whole Bean,2025-06-01,Iced Coffee,138.0,Bags - 5lbs,2.09219671
5lb Bag - Cardinal - Whole Bean,2025-06-02,Iced Coffee,133.0,Bags - 5lbs,2.54598299
5lb Bag - Cardinal - Whole Bean,2025-06-03,Iced Coffee,166.0,Bags - 5lbs,2.52895723
5lb Bag - Cardinal - Whole Bean,2025-06-04,Iced Coffee,141.0,Bags - 5lbs,2.44356732
5lb Bag - Cardinal - Whole Bean,2025-06-05,Iced Coffee,175.0,Bags - 5lbs,3.91556353
5lb Bag - Cardinal - Whole Bean,2025-06-06,Iced Coffee,159.0,Bags - 5lbs,2.83639156
5lb Bag - Cardinal - Whole Bean,2025-06-07,Iced Coffee,214.0,Bags - 5lbs,4.14583611
5lb Bag - Cardinal - Whole Bean,2025-06-08,Iced Coffee,157.0,Bags - 5lbs,3.4972003
5lb Bag - Cardinal - Whole Bean,2025-06-09,Iced Coffee,127.0,Bags - 5lbs,1.82106567
5lb Bag - Cardinal - Whole Bean,2025-06-10,Iced Coffee,132.0,Bags - 5lbs,2.29807364
5lb Bag - Cardinal - Whole Bean,2025-06-11,Iced Coffee,162.0,Bags - 5lbs,3.36918285
5lb Bag - Cardinal - Whole Bean,2025-06-12,Iced Coffee,140.0,Bags - 5lbs,2.70722023
5lb Bag - Cardinal - Whole Bean,2025-06-13,Iced Coffee,155.0,Bags - 5lbs,2.62877953
5lb Bag - Cardinal - Whole Bean,2025-06-14,Iced Coffee,266.0,Bags - 5lbs,5.055521
5lb Bag - Cardinal - Whole Bean,2025-06-15,Iced Coffee,187.0,Bags - 5lbs,3.6038129199999998
5lb Bag - Cardinal - Whole Bean,2025-06-16,Blended Drinks,113.0,Bags - 5lbs,1.66652343
5lb Bag - Cardinal - Whole Bean,2025-06-17,Blended Drinks,138.0,Bags - 5lbs,2.19797157
5lb Bag - Cardinal - Whole Bean,2025-06-18,Iced Coffee,136.0,Bags - 5lbs,2.60506819
5lb Bag - Cardinal - Whole Bean,2025-06-19,Iced Coffee,164.0,Bags - 5lbs,3.4834947
5lb Bag - Cardinal - Whole Bean,2025-06-20,Iced Coffee,104.0,Bags - 5lbs,1.62558521
5lb Bag - Cardinal - Whole Bean,2025-06-21,Blended Drinks,173.0,Bags - 5lbs,3.10896851
5lb Bag - Cardinal - Whole Bean,2025-06-22,Iced Coffee,161.0,Bags - 5lbs,2.91123676
5lb Bag - Cardinal - Whole Bean,2025-06-23,Iced Coffee,202.0,Bags - 5lbs,3.2357372
5lb Bag - Cardinal - Whole Bean,2025-06-24,Iced Coffee,149.0,Bags - 5lbs,2.7914514
5lb Bag - Cardinal - Whole Bean,2025-06-25,Iced Coffee,143.0,Bags - 5lbs,2.04580349
5lb Bag - Cardinal - Whole Bean,2025-06-26,Iced Coffee,167.0,Bags - 5lbs,3.50094367
5lb Bag - Cardinal - Whole Bean,2025-06-27,Iced Coffee,181.0,Bags - 5lbs,3.07706008
5lb Bag - Cardinal - Whole Bean,2025-06-28,Iced Coffee,232.0,Bags - 5lbs,4.6374099399999995
5lb Bag - Cardinal - Whole Bean,2025-06-29,Iced Coffee,137.0,Bags - 5lbs,2.95810936
5lb Bag - Cardinal - Whole Bean,2025-06-30,Iced Coffee,95.0,Bags - 5lbs,1.8705521999999999
5lb Bag - Cardinal - Whole Bean,2025-07-01,Iced Coffee,131.0,Bags - 5lbs,2.06758458
5lb Bag - Cardinal - Whole Bean,2025-07-02,Iced Coffee,144.0,Bags - 5lbs,2.36173078
5lb Bag - Cardinal - Whole Bean,2025-07-03,Iced Coffee,147.0,Bags - 5lbs,2.25239317
5lb Bag - Cardinal - Whole Bean,2025-07-04,Iced Coffee,318.0,Bags - 5lbs,6.51552144
5lb Bag - Cardinal - Whole Bean,2025-07-05,Iced Coffee,203.0,Bags - 5lbs,3.76758837
5lb Bag - Cardinal - Whole Bean,2025-07-06,Iced Coffee,162.0,Bags - 5lbs,3.62705308
5lb Bag - Cardinal - Whole Bean,2025-07-07,Iced Coffee,100.0,Bags - 5lbs,1.26458482
5lb Bag - Cardinal - Whole Bean,2025-07-08,Blended Drinks,125.0,Bags - 5lbs,2.22506416
5lb Bag - Cardinal - Whole Bean,2025-07-09,Iced Coffee,127.0,Bags - 5lbs,2.20405609
5lb Bag - Cardinal - Whole Bean,2025-07-10,Iced Coffee,122.0,Bags - 5lbs,2.0927317
5lb Bag - Cardinal - Whole Bean,2025-07-11,Iced Coffee,140.0,Bags - 5lbs,2.47135268
5lb Bag - Cardinal - Whole Bean,2025-07-12,Blended Drinks,174.0,Bags - 5lbs,4.14177603
5lb Bag - Cardinal - Whole Bean,2025-07-13,Iced Coffee,108.0,Bags - 5lbs,2.09290454
5lb Bag - Cardinal - Whole Bean,2025-07-14,Iced Coffee,121.0,Bags - 5lbs,2.05383144
5lb Bag - Cardinal - Whole Bean,2025-07-15,Iced Coffee,122.0,Bags - 5lbs,2.5413956
5lb Bag - Cardinal - Whole Bean,2025-07-16,Blended Drinks,116.0,Bags - 5lbs,1.7842684
5lb Bag - Cardinal - Whole Bean,2025-07-17,Blended Drinks,116.0,Bags - 5lbs,1.8474897
5lb Bag - Cardinal - Whole Bean,2025-07-18,Blended Drinks,121.0,Bags - 5lbs,2.46934602
5lb Bag - Cardinal - Whole Bean,2025-07-19,Blended Drinks,214.0,Bags - 5lbs,3.57312973
5lb Bag - Cardinal - Whole Bean,2025-07-20,Blended Drinks,168.0,Bags - 5lbs,2.85240153
5lb Bag - Cardinal - Whole Bean,2025-07-21,Blended Drinks,136.0,Bags - 5lbs,2.81583032
5lb Bag - Cardinal - Whole Bean,2025-07-22,Iced Coffee,114.0,Bags - 5lbs,2.16648153
5lb Bag - Cardinal - Whole Bean,2025-07-23,Iced Coffee,168.0,Bags - 5lbs,3.9058744
5lb Bag - Cardinal - Whole Bean,2025-07-24,Iced Coffee,140.0,Bags - 5lbs,2.55439681
5lb Bag - Cardinal - Whole Bean,2025-07-25,Iced Coffee,113.0,Bags - 5lbs,1.47092666
5lb Bag - Cardinal - Whole Bean,2025-07-26,Iced Coffee,164.0,Bags - 5lbs,3.00995276
5lb Bag - Cardinal - Whole Bean,2025-07-27,Iced Coffee,118.0,Bags - 5lbs,2.0311638
5lb Bag - Cardinal - Whole Bean,2025-07-28,Iced Coffee,117.0,Bags - 5lbs,2.25439025
5lb Bag - Cardinal - Whole Bean,2025-07-29,Iced Coffee,117.0,Bags - 5lbs,2.41227899
5lb Bag - Cardinal - Whole Bean,2025-07-30,Blended Drinks,121.0,Bags - 5lbs,2.31001084
5lb Bag - Cardinal - Whole Bean,2025-07-31,Refill Coffee,121.0,Bags - 5lbs,2.32251322
5lb Bag - Cardinal - Whole Bean,2025-08-01,Iced Coffee,155.0,Bags - 5lbs,2.015617
5lb Bag - Cardinal - Whole Bean,2025-08-02,Iced Coffee,189.0,Bags - 5lbs,4.69818718
5lb Bag - Cardinal - Whole Bean,2025-08-03,Iced Coffee,200.0,Bags - 5lbs,4.51108365
5lb Bag - Cardinal - Whole Bean,2025-08-04,Iced Coffee,113.0,Bags - 5lbs,2.06834563
5lb Bag - Cardinal - Whole Bean,2025-08-05,Iced Coffee,113.0,Bags - 5lbs,2.16934986
5lb Bag - Cardinal - Whole Bean,2025-08-06,Iced Coffee,122.0,Bags - 5lbs,2.67117964
5lb Bag - Cardinal - Whole Bean,2025-08-07,Iced Coffee,145.0,Bags - 5lbs,2.87522193
5lb Bag - Cardinal - Whole Bean,2025-08-08,Blended Drinks,129.0,Bags - 5lbs,2.19727496
5lb Bag - Cardinal - Whole Bean,2025-08-09,Iced Coffee,176.0,Bags - 5lbs,2.7385611499999998
5lb Bag - Cardinal - Whole Bean,2025-08-10,Iced Coffee,99.0,Bags - 5lbs,2.0609425
5lb Bag - Cardinal - Whole Bean,2025-08-11,Iced Coffee,88.0,Bags - 5lbs,1.36188204
5lb Bag - Cardinal - Whole Bean,2025-08-12,Other Beverages,134.0,Bags - 5lbs,3.17557855
5lb Bag - Cardinal - Whole Bean,2025-08-13,Iced Coffee,106.0,Bags - 5lbs,1.78753189
5lb Bag - Cardinal - Whole Bean,2025-08-14,Iced Coffee,127.0,Bags - 5lbs,2.49067503
5lb Bag - Cardinal - Whole Bean,2025-08-15,Iced Coffee,147.0,Bags - 5lbs,1.94880549
5lb Bag - Cardinal - Whole Bean,2025-08-16,Iced Coffee,231.0,Bags - 5lbs,4.0094658899999995
5lb Bag - Cardinal - Whole Bean,2025-08-17,Iced Coffee,216.0,Bags - 5lbs,4.46464407
5lb Bag - Cardinal - Whole Bean,2025-08-18,Iced Coffee,123.0,Bags - 5lbs,2.02113969
5lb Bag - Cardinal - Whole Bean,2025-08-19,Iced Coffee,121.0,Bags - 5lbs,1.7690576
5lb Bag - Cardinal - Whole Bean,2025-08-20,Iced Coffee,138.0,Bags - 5lbs,2.2615455399999997
5lb Bag - Cardinal - Whole Bean,2025-08-21,Iced Coffee,135.0,Bags - 5lbs,2.13413867
5lb Bag - Cardinal - Whole Bean,2025-08-22,Iced Coffee,120.0,Bags - 5lbs,2.4440864700000002
5lb Bag - Cardinal - Whole Bean,2025-08-23,Iced Coffee,177.0,Bags - 5lbs,2.52005799
5lb Bag - Cardinal - Whole Bean,2025-08-24,Iced Coffee,118.0,Bags - 5lbs,2.52253592
5lb Bag - Cardinal - Whole Bean,2025-08-25,Iced Coffee,113.0,Bags - 5lbs,1.69615967
5lb Bag - Cardinal - Whole Bean,2025-08-26,Iced Coffee,107.0,Bags - 5lbs,1.78441611
5lb Bag - Cardinal - Whole Bean,2025-08-27,Iced Coffee,128.0,Bags - 5lbs,1.95942267
5lb Bag - Cardinal - Whole Bean,2025-08-28,Iced Coffee,117.0,Bags - 5lbs,1.90519379
5lb Bag - Cardinal - Whole Bean,2025-08-29,Iced Coffee,130.0,Bags - 5lbs,2.34683941
5lb Bag - Cardinal - Whole Bean,2025-08-30,Iced Coffee,168.0,Bags - 5lbs,3.21882585
5lb Bag - Cardinal - Whole Bean,2025-08-31,Iced Coffee,163.0,Bags - 5lbs,2.85133742
5lb Bag - Cardinal - Whole Bean,2025-09-01,Iced Coffee,158.0,Bags - 5lbs,2.93965262
5lb Bag - Cardinal - Whole Bean,2025-09-02,Blended Drinks,100.0,Bags - 5lbs,1.83800904
5lb Bag - Cardinal - Whole Bean,2025-09-03,Other Beverages,150.0,Bags - 5lbs,2.67797813
5lb Bag - Cardinal - Whole Bean,2025-09-04,Iced Coffee,114.0,Bags - 5lbs,2.02528628
5lb Bag - Cardinal - Whole Bean,2025-09-05,Iced Coffee,126.0,Bags - 5lbs,2.44416268
5lb Bag - Cardinal - Whole Bean,2025-09-06,Iced Coffee,217.0,Bags - 5lbs,4.90320288
5lb Bag - Cardinal - Whole Bean,2025-09-07,Iced Coffee,167.0,Bags - 5lbs,2.95328988
5lb Bag - Cardinal - Whole Bean,2025-09-08,Iced Coffee,101.0,Bags - 5lbs,2.58140711
5lb Bag - Cardinal - Whole Bean,2025-09-09,Iced Coffee,117.0,Bags - 5lbs,2.21399611
